t,hour,lambda_ship_per_hour,expected_ship_count_per_period,previous_day_arrival_count,current_day_arrival_count,next_day_arrival_count
0,0,0.26187196013153774,0.065467990032884435,0,0,0
1,0.25,0.25611683819535769,0.064029209548839422,1,0,0
2,0.5,0.25010399695848534,0.062525999239621335,0,0,0
3,0.75,0.24397998530033796,0.06099499632508449,0,0,0
4,1,0.23792405917928142,0.059481014794820354,0,0,0
5,1.25,0.23214555082198635,0.058036387705496587,0,0,0
6,1.5,0.22687963617232462,0.056719909043081156,0,0,0
7,1.75,0.22238174005901873,0.055595435014754682,1,0,0
8,2,0.21892093106980032,0.054730232767450079,0,0,0
9,2.25,0.21677272033601999,0.054193180084004998,0,0,0
10,2.5,0.21621167527024804,0.05405291881756201,0,0,0
11,2.75,0.21750418555008405,0.054376046387521013,1,0,0
12,3,0.22090158169078378,0.055225395422695944,0,0,0
13,3.25,0.22663362723138952,0.056658406807847381,0,0,0
14,3.5,0.23490221659047439,0.058725554147618597,0,0,0
15,3.75,0.24587495249884006,0.061468738124710015,0,0,0
16,4,0.25967819144160681,0.064919547860401702,0,0,0
17,4.25,0.27638916818317466,0.069097292045793665,0,0,0
18,4.5,0.29602696225062169,0.074006740562655424,0,0,0
19,4.75,0.31854235017569871,0.079635587543924677,0,0,0
20,5,0.34380697232364843,0.085951743080912107,0,1,0
21,5.25,0.37160268236765076,0.09290067059191269,0,0,0
22,5.5,0.40161237084745044,0.10040309271186261,0,0,0
23,5.75,0.43341388078483661,0.10835347019620915,0,0,1
24,6,0.46647878374127799,0.1166196959353195,0,0,0
25,6.25,0.50017769570272397,0.12504442392568099,0,0,0
26,6.5,0.53379344991032995,0.13344836247758249,0,0,0
27,6.75,0.5665428138607862,0.14163570346519655,0,0,0
28,7,0.59760658967593228,0.14940164741898307,0,0,0
29,7.25,0.6261669614740355,0.15654174036850887,0,0,0
30,7.5,0.65144997173288599,0.1628624929332215,0,0,0
31,7.75,0.67277015674655694,0.16819253918663923,0,0,0
32,8,0.68957377889842664,0.17239344472460666,0,0,0
33,8.25,0.70147686328862524,0.17536921582215631,0,0,0
34,8.5,0.70829443602577635,0.17707360900644409,1,1,1
35,8.75,0.71005797268710946,0.17751449317177737,0,0,0
36,9,0.70701904065575227,0.17675476016393807,0,0,0
37,9.25,0.69963834892808285,0.17490958723202071,0,0,0
38,9.5,0.68856075780288761,0.1721401894507219,0,1,0
39,9.75,0.67457808791907492,0.16864452197976873,0,0,0
40,10,0.65858265145645611,0.16464566286411403,0,0,0
41,10.25,0.64151518663755214,0.16037879665938803,0,0,0
42,10.5,0.62431123563348079,0.1560778089083702,0,0,0
43,10.75,0.60784994651752511,0.15196248662938128,0,0,0
44,11,0.59290883745206469,0.14822720936301617,0,0,0
45,11.25,0.58012731662042982,0.14503182915510746,0,0,1
46,11.5,0.5699808153169813,0.14249520382924533,0,0,0
47,11.75,0.56276638642129251,0.14069159660532313,0,0,0
48,12,0.55859966185709309,0.13964991546427327,0,1,0
49,12.25,0.55742224452618361,0.1393555611315459,0,0,0
50,12.5,0.55901799512008865,0.13975449878002216,0,0,0
51,12.75,0.56303628960327512,0.14075907240081878,1,1,0
52,13,0.56902016362819519,0.1422550409070488,0,2,1
53,13.25,0.57643729411986222,0.14410932352996556,0,0,0
54,13.5,0.58471194736065002,0.1461779868401625,0,1,0
