period,agv_charge_count_da,grid_buy_da_mw,grid_sell_da_mw,lohc_power_da_mw,lohc_ramp_abs_da_mw,spill_da_mw
0,0.0,27.70955994613491,0.0,0.3266770632520295,,0.0
1,0.0,22.484334720909686,0.0,0.3266770632520295,0.0,0.0
2,0.0,17.799650036225003,0.0,0.3266770632520295,0.0,0.0
3,0.0,15.81766805424302,0.0,0.3266770632520295,0.0,0.0
4,0.0,22.93478517136014,0.0,0.3266770632520295,0.0,0.0
5,0.0,21.403253639828606,0.0,0.3266770632520295,0.0,0.0
6,0.0,19.421271657846624,0.0,0.3266770632520295,0.0,0.0
7,0.0,14.349199585774551,0.0,0.3266770632520295,0.0,0.0
8,4.0,15.399650036225001,0.0,0.3266770632520295,0.0,0.0
9,3.8221529116531614,7.535135135135134,0.0,0.3266770632520295,0.0,0.0
10,7.822152911653161,0.0,0.0,0.3266770632520295,0.0,0.0
11,3.8221529116531614,0.6612612612612645,0.0,0.3266770632520295,0.0,0.0
12,0.0,6.27712751370248,0.0,0.3266770632520295,0.0,0.0
13,0.0,11.232082468657437,0.0,0.3266770632520295,0.0,0.0
14,1.999999999999976,13.423974360549323,0.0,0.3266770632520295,0.0,0.0
15,5.999999999999976,8.231181567756533,0.0,0.3266770632520295,0.0,0.0
16,9.999999999999975,4.867217603792566,0.0,0.3266770632520295,0.0,0.0
17,14.0,7.719469856044821,0.0,0.3266770632520295,0.0,0.0
18,18.0,0.0,0.318018018018019,2.5,2.1733229367479705,0.0
19,14.0,0.20540540540540714,0.0,0.2,2.3,0.0
20,10.0,4.425225225225225,0.0,0.2,0.0,0.0
21,6.0,5.536936936936939,0.0,0.2,0.0,0.0
22,4.0,4.786486486486486,0.0,0.2,0.0,0.0
23,0.0,6.618918918918916,0.0,0.2,0.0,0.0
24,2.0,8.45045045045045,0.0,0.2,0.0,0.0
25,0.0,3.4207207207207206,0.0,0.2,0.0,0.0
26,0.0,4.772072072072072,0.0,0.2,0.0,0.0
27,4.0,5.281981981981981,0.0,0.2,0.0,0.0
28,3.333333333333332,5.812612612612613,0.0,0.2,0.0,0.0
29,7.333333333333332,3.98018018018018,0.0,0.2,0.0,0.0
30,11.333333333333332,0.7513513513513506,0.0,0.2,0.0,0.0
31,15.333333333333332,0.0,0.0,0.2,0.0,0.0
32,15.333333333333332,0.0,0.0,0.2,0.0,0.0
33,11.333333333333332,0.39099099099099033,0.0,0.2,0.0,0.0
34,7.333333333333332,5.691891891891893,0.0,0.2,0.0,0.0
35,3.3333333333333335,5.1819819819819815,0.0,0.2,0.0,0.0
36,0.0,3.330630630630629,0.0,0.2,0.0,0.0
37,0.0,0.8981981981981988,0.0,0.2,0.0,0.0
38,3.3213213213213018,0.0,0.0,0.2,0.0,0.0
39,0.0,0.943243243243242,0.0,0.2,0.0,0.0
40,0.0,5.357657657657659,0.0,0.2,0.0,0.0
41,0.0,6.168468468468466,0.0,0.2,0.0,0.0
42,4.0000000000000036,8.3,0.0,0.2,0.0,0.0
43,0.0,6.258558558558559,0.0,0.2,0.0,0.0
44,4.0,6.678378378378377,0.0,0.2,0.0,0.0
45,0.0,6.799099099099098,0.0,0.2,0.0,0.0
46,0.0,6.7090090090090095,0.0,0.2,0.0,0.0
47,2.0,6.288288288288287,0.0,0.2,0.0,0.0
48,0.0,15.222522522522521,0.0,0.2,0.0,0.0
49,0.0,14.23153153153153,0.0,0.2,0.0,0.0
50,0.0,16.573873873873875,0.0,0.2,0.0,0.0
51,0.0,19.844144144144142,0.0,0.2,0.0,0.0
52,2.0,22.333333333333332,0.0,0.2,0.0,0.0
53,0.0,21.853153153153155,0.0,0.2,0.0,0.0
54,0.0,26.745045045045043,0.0,0.2,0.0,0.0
55,0.0,31.186486486486487,0.0,0.2,0.0,0.0
56,4.0,33.40810810810811,0.0,0.2,0.0,0.0
57,0.0,33.16846846846847,0.0,0.2,0.0,0.0
58,0.0,36.7990990990991,0.0,0.2,0.0,0.0
