period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,agv_lohc_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,hydrogen_inventory,hydrogen_inventory_kg,hydrogen_to_lohc_kg,lohc_deviation_mw,lohc_deviation_negative_mw,lohc_deviation_positive_mw,lohc_inventory,lohc_inventory_kg,lohc_outbound_kg,lohc_outbound_normalized,lohc_power_rt_mw,lohc_production_kg,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
0,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,27.709559946134913,0.0,0.0,3.552713678800501e-15,27.709559946134913,0.0,0.5609756097560976,1150.0,33.334394209390766,0.0,-0.0,0.0,0.6476190476190476,680.0,0.0,0.0,0.3266770632520295,32.66770632520295,0.7,0.0,-0.0,0.0,0.0,140.0
1,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,22.48433472090969,0.0,0.0,3.552713678800501e-15,22.48433472090969,0.0,0.5770974148971876,1183.0497005392344,33.334394209390766,0.0,-0.0,0.0,0.6787311488811457,712.667706325203,0.0,0.0,0.3266770632520295,32.66770632520295,0.6925925925925925,0.0,-0.0,0.0,0.0,140.0
2,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,23.47532571190068,5.675675675675675,0.0,5.675675675675677,23.47532571190068,0.0,0.5707322529229297,1170.0011184920058,33.334394209390766,0.0,-0.0,0.0,0.7098432501432438,745.3354126504059,0.0,0.0,0.3266770632520295,32.66770632520295,0.6851851851851851,0.0,-0.0,0.0,0.0,140.0
3,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,22.154004390579356,6.336336336336336,0.0,6.336336336336336,22.154004390579356,0.0,0.5716321548906627,1171.8459175258583,33.334394209390766,0.0,-0.0,0.0,0.7409553514053419,778.0031189756089,0.0,0.0,0.3266770632520295,32.66770632520295,0.6777777777777777,0.0,-0.0,0.0,0.0,140.0
4,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,26.8987491353241,3.9639639639639643,0.0,3.963963963963959,26.8987491353241,0.0,0.5790455624615597,1187.0434030461975,33.334394209390766,0.0,-0.0,0.0,0.7720674526674399,810.6708253008119,0.0,0.0,0.3266770632520295,32.66770632520295,0.6703703703703703,0.0,-0.0,0.0,0.0,140.0
5,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,25.877728114303082,4.474474474474475,0.0,4.474474474474476,25.877728114303082,0.0,0.5892146839414877,1207.8901020800497,33.334394209390766,0.0,-0.0,0.0,0.803179553929538,843.3385316260149,0.0,0.0,0.3266770632520295,32.66770632520295,0.6629629629629629,0.0,-0.0,0.0,0.0,140.0
6,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,24.55640679298176,5.135135135135139,0.0,5.135135135135137,24.55640679298176,0.0,0.5894882872935318,1208.45098895174,33.334394209390766,0.0,-0.0,0.0,0.8342916551916361,876.0062379512178,0.0,0.0,0.3266770632520295,32.66770632520295,0.6555555555555554,0.0,-0.0,0.0,0.0,140.0
7,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,20.175025411600377,5.8258258258258255,0.0,5.8258258258258255,20.175025411600377,0.0,0.5918913059389179,1213.3771771747818,33.334394209390766,0.0,-0.0,0.0,0.8654037564537341,908.6739442764208,0.0,0.0,0.3266770632520295,32.66770632520295,0.648148148148148,0.0,-0.0,0.0,0.0,140.0
8,4.0,0.6,34.5679012345679,21.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,21.075325711900682,5.675675675675674,0.0,5.675675675675681,21.075325711900682,0.0,0.597050038493335,1223.9525789113368,33.334394209390766,0.0,-0.0,0.0,0.8965158577158322,941.3416506016238,0.0,0.0,0.3266770632520295,32.66770632520295,0.6407407407407406,0.0,-0.0,0.0,0.0,140.0
9,3.8221529116531614,0.5733229367479742,34.5679012345679,8.43769498715119e-15,21.60994585377893,0.0,0.0,0.0,-0.0,0.0,15.823423423423414,8.288288288288284,0.0,8.28828828828828,15.823423423423414,0.0,0.6050897446799209,1240.433976593838,33.334394209390766,0.0,-0.0,0.0,0.9276279589779303,974.0093569268267,137.7634048178407,0.1312032426836578,0.3266770632520295,32.66770632520295,0.6399761904761904,0.0,-0.0,0.0,0.0,140.0
