period,ship.active_quay_cranes,ship.arrival_count,ship.delayed_out_of_current_day_count,ship.in_port_count,ship.quay_crane_power_kw,ship.shore_power_kw,ship.task_release,wind.available_power_kw
0,16.0,0.0,0.0,8.0,8000.0,24000.0,140.0,11861.861861861864
1,16.0,0.0,,8.0,8000.0,24000.0,140.0,20570.57057057057
2,16.0,0.0,,8.0,8000.0,24000.0,140.0,22702.702702702703
3,16.0,0.0,,8.0,8000.0,24000.0,140.0,25345.345345345348
4,16.0,0.0,,8.0,8000.0,24000.0,140.0,15855.855855855854
5,16.0,0.0,,8.0,8000.0,24000.0,140.0,17897.8978978979
6,16.0,0.0,,8.0,8000.0,24000.0,140.0,20540.54054054054
7,16.0,0.0,,7.0,8000.0,21000.0,140.0,23303.303303303306
8,16.0,0.0,,7.0,8000.0,21000.0,140.0,22702.702702702703
9,16.0,0.0,,7.0,8000.0,21000.0,140.0,33153.153153153165
10,16.0,0.0,,6.0,8000.0,18000.0,140.0,40000.00000000001
11,16.0,0.0,,6.0,8000.0,18000.0,140.0,38318.31831831832
12,16.0,0.0,,5.0,8000.0,15000.0,140.0,26066.066066066065
13,16.0,0.0,,5.0,8000.0,15000.0,140.0,19459.45945945946
14,16.0,0.0,,5.0,8000.0,15000.0,140.0,21171.171171171172
15,16.0,0.0,,4.0,8000.0,12000.0,140.0,25825.825825825825
16,16.0,0.0,,4.0,8000.0,12000.0,140.0,32432.432432432433
17,16.0,0.0,,4.0,8000.0,12000.0,140.0,28678.67867867868
18,8.0,0.0,,2.0,4000.0,6000.0,70.0,30030.03003003003
19,8.0,0.0,,2.0,4000.0,6000.0,70.0,24324.324324324323
20,12.0,1.0,,3.0,6000.0,9000.0,105.0,24624.624624624626
21,12.0,0.0,,3.0,6000.0,9000.0,105.0,21771.77177177177
22,12.0,0.0,,3.0,6000.0,9000.0,105.0,22522.522522522522
23,12.0,0.0,,3.0,6000.0,9000.0,105.0,18468.468468468473
24,12.0,0.0,,3.0,6000.0,9000.0,105.0,15915.915915915915
25,8.0,0.0,,2.0,4000.0,6000.0,70.0,15465.465465465466
26,8.0,0.0,,2.0,4000.0,6000.0,70.0,13213.213213213214
27,8.0,0.0,,2.0,4000.0,6000.0,70.0,13363.363363363365
28,8.0,0.0,,2.0,4000.0,6000.0,70.0,12312.312312312313
29,8.0,0.0,,2.0,4000.0,6000.0,70.0,16366.366366366368
30,4.0,0.0,,1.0,2000.0,3000.0,35.0,14414.414414414414
31,4.0,0.0,,1.0,2000.0,3000.0,35.0,16666.666666666668
32,4.0,0.0,,1.0,2000.0,3000.0,35.0,16666.666666666668
33,4.0,0.0,,1.0,2000.0,3000.0,35.0,15015.015015015015
34,8.0,1.0,,2.0,4000.0,6000.0,70.0,13513.513513513513
35,8.0,0.0,,2.0,4000.0,6000.0,70.0,13363.363363363365
36,8.0,0.0,,2.0,4000.0,6000.0,70.0,15615.615615615618
37,8.0,0.0,,2.0,4000.0,6000.0,70.0,19669.66966966967
38,12.0,1.0,,3.0,6000.0,9000.0,105.0,30330.33033033033
39,12.0,0.0,,3.0,6000.0,9000.0,105.0,27927.92792792793
40,12.0,0.0,,3.0,6000.0,9000.0,105.0,20570.57057057057
41,12.0,0.0,,3.0,6000.0,9000.0,105.0,19219.219219219223
42,12.0,0.0,,3.0,6000.0,9000.0,105.0,16666.666666666668
43,12.0,0.0,,3.0,6000.0,9000.0,105.0,19069.069069069068
44,12.0,0.0,,3.0,6000.0,9000.0,105.0,19369.36936936937
45,12.0,0.0,,3.0,6000.0,9000.0,105.0,18168.16816816817
46,12.0,0.0,,3.0,6000.0,9000.0,105.0,18318.318318318317
47,12.0,0.0,,3.0,6000.0,9000.0,105.0,19519.51951951952
48,12.0,0.0,,3.0,6000.0,9000.0,105.0,12462.462462462463
49,12.0,0.0,,3.0,6000.0,9000.0,105.0,14114.114114114116
50,12.0,0.0,,3.0,6000.0,9000.0,105.0,10210.21021021021
51,12.0,0.0,,3.0,6000.0,9000.0,105.0,9759.75975975976
52,16.0,3.0,,5.0,8000.0,15000.0,140.0,11111.111111111113
53,16.0,0.0,,5.0,8000.0,15000.0,140.0,11411.41141141141
54,16.0,1.0,,6.0,8000.0,18000.0,140.0,8258.258258258258
55,16.0,2.0,,8.0,8000.0,24000.0,140.0,5855.855855855856
56,16.0,0.0,,8.0,8000.0,24000.0,140.0,3153.1531531531537
57,16.0,0.0,,8.0,8000.0,24000.0,140.0,2552.5525525525527
58,16.0,1.0,,9.0,8000.0,27000.0,140.0,1501.5015015015015
59,16.0,0.0,,9.0,8000.0,27000.0,140.0,3303.3033033033034
60,16.0,0.0,,9.0,8000.0,27000.0,140.0,2252.252252252252
61,16.0,0.0,,9.0,8000.0,27000.0,140.0,4504.504504504504
62,16.0,1.0,,10.0,8000.0,30000.0,140.0,6306.306306306307
63,16.0,0.0,,10.0,8000.0,30000.0,140.0,4354.354354354355
64,16.0,0.0,,10.0,8000.0,30000.0,140.0,6006.006006006006
65,16.0,0.0,,10.0,8000.0,30000.0,140.0,5555.555555555557
66,16.0,0.0,,9.0,8000.0,27000.0,140.0,6156.156156156157
67,16.0,0.0,,9.0,8000.0,27000.0,140.0,4804.804804804806
