three_day_index,day_offset,period_in_day,actual_arrival_count
0,-1,0,0
1,-1,1,1
2,-1,2,0
3,-1,3,0
4,-1,4,0
5,-1,5,0
6,-1,6,0
7,-1,7,1
8,-1,8,0
9,-1,9,0
10,-1,10,0
11,-1,11,1
12,-1,12,0
13,-1,13,0
14,-1,14,0
15,-1,15,0
16,-1,16,0
17,-1,17,0
18,-1,18,0
19,-1,19,0
20,-1,20,0
21,-1,21,0
22,-1,22,0
23,-1,23,0
24,-1,24,0
25,-1,25,0
26,-1,26,0
27,-1,27,0
28,-1,28,0
29,-1,29,0
30,-1,30,0
31,-1,31,0
32,-1,32,0
33,-1,33,0
34,-1,34,1
35,-1,35,0
36,-1,36,0
37,-1,37,0
38,-1,38,0
39,-1,39,0
40,-1,40,0
41,-1,41,0
42,-1,42,0
43,-1,43,0
44,-1,44,0
45,-1,45,0
46,-1,46,0
47,-1,47,0
48,-1,48,0
49,-1,49,0
50,-1,50,0
51,-1,51,1
52,-1,52,0
53,-1,53,0
54,-1,54,0
55,-1,55,1
56,-1,56,0
57,-1,57,0
58,-1,58,0
59,-1,59,0
60,-1,60,0
61,-1,61,0
62,-1,62,1
63,-1,63,0
64,-1,64,0
65,-1,65,0
66,-1,66,0
67,-1,67,0
68,-1,68,0
69,-1,69,0
70,-1,70,0
71,-1,71,1
72,-1,72,0
73,-1,73,0
74,-1,74,1
75,-1,75,0
76,-1,76,1
77,-1,77,0
78,-1,78,0
79,-1,79,1
80,-1,80,0
81,-1,81,0
82,-1,82,2
83,-1,83,0
84,-1,84,0
85,-1,85,0
86,-1,86,0
87,-1,87,0
88,-1,88,0
89,-1,89,1
90,-1,90,0
91,-1,91,0
92,-1,92,0
93,-1,93,0
94,-1,94,1
95,-1,95,0
96,0,0,0
97,0,1,0
98,0,2,0
99,0,3,0
100,0,4,0
101,0,5,0
102,0,6,0
103,0,7,0
104,0,8,0
105,0,9,0
106,0,10,0
107,0,11,0
108,0,12,0
109,0,13,0
110,0,14,0
111,0,15,0
112,0,16,0
113,0,17,0
114,0,18,0
115,0,19,0
116,0,20,1
117,0,21,0
118,0,22,0
119,0,23,0
120,0,24,0
121,0,25,0
122,0,26,0
123,0,27,0
124,0,28,0
125,0,29,0
126,0,30,0
127,0,31,0
128,0,32,0
129,0,33,0
130,0,34,0
131,0,35,0
132,0,36,0
133,0,37,1
134,0,38,1
135,0,39,0
136,0,40,0
137,0,41,0
138,0,42,0
139,0,43,0
140,0,44,0
141,0,45,0
142,0,46,0
143,0,47,0
144,0,48,1
145,0,49,0
146,0,50,0
147,0,51,0
148,0,52,2
149,0,53,1
150,0,54,1
151,0,55,1
152,0,56,0
153,0,57,0
154,0,58,1
155,0,59,0
156,0,60,0
157,0,61,0
158,0,62,1
159,0,63,0
160,0,64,0
161,0,65,0
162,0,66,0
163,0,67,0
164,0,68,1
165,0,69,0
166,0,70,0
167,0,71,1
168,0,72,0
169,0,73,0
170,0,74,0
171,0,75,0
172,0,76,0
173,0,77,0
174,0,78,0
175,0,79,0
176,0,80,0
177,0,81,0
178,0,82,0
179,0,83,0
180,0,84,0
181,0,85,0
182,0,86,0
183,0,87,0
184,0,88,0
185,0,89,0
186,0,90,2
187,0,91,0
188,0,92,0
189,0,93,0
190,0,94,0
191,0,95,0
192,1,0,0
193,1,1,0
194,1,2,0
195,1,3,0
196,1,4,0
197,1,5,0
198,1,6,0
199,1,7,0
200,1,8,0
201,1,9,0
202,1,10,0
203,1,11,0
204,1,12,0
205,1,13,0
206,1,14,0
207,1,15,0
208,1,16,0
209,1,17,0
210,1,18,0
211,1,19,0
212,1,20,0
213,1,21,0
214,1,22,0
215,1,23,1
216,1,24,0
217,1,25,0
218,1,26,0
219,1,27,0
220,1,28,0
221,1,29,0
222,1,30,0
223,1,31,0
224,1,32,0
225,1,33,0
226,1,34,1
227,1,35,0
228,1,36,0
229,1,37,0
230,1,38,0
231,1,39,0
232,1,40,0
233,1,41,0
234,1,42,0
235,1,43,0
236,1,44,0
237,1,45,1
238,1,46,0
239,1,47,0
240,1,48,0
241,1,49,0
242,1,50,0
243,1,51,0
244,1,52,1
245,1,53,0
246,1,54,0
247,1,55,0
248,1,56,0
249,1,57,0
250,1,58,0
251,1,59,0
252,1,60,0
253,1,61,0
254,1,62,0
255,1,63,0
256,1,64,0
257,1,65,0
258,1,66,1
259,1,67,0
260,1,68,0
261,1,69,0
262,1,70,0
263,1,71,3
264,1,72,0
265,1,73,0
266,1,74,0
267,1,75,0
268,1,76,0
269,1,77,0
270,1,78,0
271,1,79,0
272,1,80,0
273,1,81,0
274,1,82,0
275,1,83,0
276,1,84,0
277,1,85,0
278,1,86,0
279,1,87,0
280,1,88,0
281,1,89,1
282,1,90,0
283,1,91,0
284,1,92,0
285,1,93,0
286,1,94,0
287,1,95,0
