period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,agv_lohc_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,hydrogen_inventory,hydrogen_inventory_kg,hydrogen_to_lohc_kg,lohc_deviation_mw,lohc_deviation_negative_mw,lohc_deviation_positive_mw,lohc_inventory,lohc_inventory_kg,lohc_outbound_kg,lohc_outbound_normalized,lohc_power_rt_mw,lohc_production_kg,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
0,0.0,0.0,32.0,28.0,0.0,0.0,0.0,0.0,-0.0,0.0,30.081932318507285,2.372372372372372,0.0,2.3723723723723715,30.081932318507285,0.0,0.5609756097560976,1150.0,33.334394209390815,0.0,-0.0,0.0,0.6476190476190476,680.0,0.0,0.0,0.32667706325203,32.667706325203,0.7,0.0,-0.0,0.0,0.0,129.6
1,0.0,0.0,32.0,28.0,0.0,0.0008666666666666666,10.4,0.0,-0.0,0.0,26.598448835023802,4.114114114114112,0.0,4.114114114114113,26.598448835023802,0.0,0.5770974148971876,1183.0497005392344,33.334394209390815,0.0,-0.0,0.0,0.6787311488811457,712.667706325203,0.0,0.0,0.32667706325203,32.667706325203,0.6931428571428571,0.0,-0.0,0.0,0.0,129.6
2,0.0,0.0,32.0,28.0,0.0,0.0017333333333333333,20.8,0.0,-0.0,0.0,23.47532571190068,5.675675675675676,0.0,5.675675675675677,23.47532571190068,0.0,0.5707322529229297,1170.0011184920058,33.334394209390815,0.0,-0.0,0.0,0.7098432501432438,745.3354126504059,0.0,0.0,0.32667706325203,32.667706325203,0.6862857142857142,0.0,-0.0,0.0,0.0,129.60000000000002
3,0.0,0.0,32.0,28.0,0.0,0.0026,31.2,0.0,-0.0,0.0,22.154004390579356,6.336336336336337,0.0,6.336336336336336,22.154004390579356,0.0,0.5716321548906627,1171.8459175258583,33.334394209390815,0.0,-0.0,0.0,0.7409553514053419,778.0031189756089,0.0,0.0,0.32667706325203,32.667706325203,0.6794285714285713,0.0,-0.0,0.0,0.0,129.6
4,0.0,0.0,32.0,28.0,0.0,0.0034666666666666665,41.6,0.0,-0.0,0.0,26.8987491353241,3.9639639639639612,0.0,3.9639639639639555,26.8987491353241,0.0,0.5790455624615597,1187.0434030461975,33.334394209390815,0.0,-0.0,0.0,0.7720674526674399,810.6708253008119,0.0,0.0,0.32667706325203,32.667706325203,0.6725714285714284,0.0,-0.0,0.0,0.0,129.6
5,0.0,0.0,32.0,0.0,28.0,0.004333333333333333,52.0,0.0,-0.0,0.0,25.877728114303082,4.474474474474472,0.0,4.474474474474473,25.877728114303082,0.0,0.5892146839414877,1207.8901020800497,33.334394209390815,0.0,-0.0,0.0,0.803179553929538,843.3385316260149,178.5,0.17,0.32667706325203,32.667706325203,0.6657142857142855,0.0,-0.0,0.0,0.0,129.6
6,0.0,0.0,32.0,28.0,0.0,0.0052,62.4,0.0,-0.0,0.0,19.42127165784663,0.0,0.0,3.552713678800501e-15,19.42127165784663,0.0,0.5894882872935318,1208.45098895174,33.33439420939131,0.0,0.0,4.829470157119431e-15,0.664291655191636,697.5062379512178,0.0,0.0,0.3266770632520348,32.66770632520348,0.6528571428571426,0.0,-0.0,0.0,0.0,129.60000000000002
7,0.0,0.0,32.0,28.0,0.0,0.006066666666666666,72.8,0.0,-0.0,0.0,20.175025411600377,5.825825825825826,0.0,5.8258258258258255,20.175025411600377,0.0,0.5918913059389177,1213.3771771747813,33.334394209390815,0.0,-0.0,0.0,0.6954037564537345,730.1739442764213,0.0,0.0,0.32667706325203,32.667706325203,0.6459999999999997,0.0,-0.0,0.0,0.0,129.60000000000002
8,0.0,0.0,32.0,0.0,28.0,0.006933333333333333,83.2,0.0,-0.0,0.0,20.47532571190068,5.675675675675676,0.0,5.675675675675679,20.47532571190068,0.0,0.5970500384933348,1223.9525789113363,33.334394209390815,0.0,-0.0,0.0,0.7265158577158326,762.8416506016242,178.5,0.17,0.32667706325203,32.667706325203,0.6391428571428568,0.0,-0.0,0.0,0.0,129.6
9,3.8221529116531574,0.5733229367479736,32.0,24.177847088346844,0.0,0.0078,93.6,0.0,-0.0,0.0,15.823423423423414,8.288288288288284,0.0,8.28828828828828,15.823423423423414,0.0,0.6050897446799207,1240.4339765938375,33.334394209390815,0.0,-0.0,0.0,0.5876279589779307,617.0093569268273,0.0,0.0,0.32667706325203,32.667706325203,0.6262857142857139,0.0,-0.0,0.0,0.0,129.6
10,7.822152911653157,1.1733229367479736,32.0,-1.7763568394002505e-15,20.177847088346844,0.008666666666666666,104.0,0.0,-0.0,0.0,9.999999999999993,9.999999999999996,0.0,9.999999999999993,9.999999999999993,0.0,0.6125031522508178,1255.6314621141764,33.334394209390815,0.0,-0.0,0.0,0.6187400602400288,649.6770632520303,128.63377518821113,0.12250835732210584,0.32667706325203,32.667706325203,0.6257760753711379,0.0,-0.0,0.0,0.0,129.60000000000002
11,3.822152911653158,0.5733229367479736,32.0,24.17784708834684,0.0,0.009533333333333333,114.39999999999999,0.0,-0.0,0.0,10.24084084084084,9.579579579579585,0.0,9.579579579579574,10.24084084084084,0.0,0.6308141557347009,1293.1690192561368,33.334394209390815,0.0,-0.0,0.0,0.527343804180021,553.7109943890221,0.0,0.0,0.32667706325203,32.667706325203,0.6275854692233447,0.0,-0.0,0.0,0.0,129.59999999999997
12,0.0,0.0,32.0,28.0,0.0,0.0104,124.8,0.0,-0.0,0.0,12.793644030219,6.51651651651652,0.0,6.516516516516519,12.793644030219,0.0,0.6562649634374371,1345.3431750467462,33.334394209390815,0.0,-0.0,0.0,0.5584559054421191,586.378700714225,0.0,0.0,0.32667706325203,32.667706325203,0.6270758303087687,0.0,-0.0,0.0,0.0,129.60000000000002
13,4.0,0.6,32.0,24.0,0.0,0.011266666666666666,135.2,0.0,-0.0,0.0,11.832082468657433,0.0,3.552713678800501e-15,0.0,11.832082468657433,0.0,0.6799621350162445,1393.9223767833012,33.334394209390815,0.0,-0.0,0.0,0.5895680067042172,619.046407039428,0.0,0.0,0.32667706325203,32.667706325203,0.6202186874516258,0.0,-0.0,0.0,0.0,129.6
14,7.155486244986473,1.0733229367479709,32.0,20.844513755013526,0.0,0.012133333333333333,145.6,0.0,-0.0,0.0,14.1972972972973,0.0,0.0,3.552713678800501e-15,14.1972972972973,0.0,0.6908828148349991,1416.3097704117483,33.334394209390815,0.0,-0.0,0.0,0.6206801079663152,651.714113364631,0.0,0.0,0.32667706325203,32.667706325203,0.6200044017373401,0.0,-0.0,0.0,0.0,129.60000000000002
15,6.000000000000002,0.9000000000000002,32.0,22.0,0.0,0.013,156.0,0.0,0.0,3.9968028886505635e-15,8.23118156775653,0.0,3.552713678800501e-15,0.0,8.23118156775653,0.0,0.6949142098811764,1424.5741302564115,33.334394209390815,0.0,-0.0,0.0,0.6517922092284133,684.381819689834,0.0,0.0,0.32667706325203,32.667706325203,0.6250304771084783,0.0,-0.0,0.0,0.0,129.6
16,10.000000000000002,1.5000000000000002,32.0,-1.7763568394002505e-15,18.0,0.013866666666666666,166.4,0.0,0.0,3.9968028886505635e-15,4.867217603792568,0.0,0.0,1.7763568394002505e-15,4.867217603792568,0.0,0.6963151507414603,1427.4460590199938,33.334394209390815,0.0,-0.0,0.0,0.6829043104905114,717.0495260150369,114.75,0.10928571428571429,0.32667706325203,32.667706325203,0.6281376199656211,0.0,-0.0,0.0,0.0,129.6
17,14.000000000000002,2.1,32.0,0.0,13.999999999999998,0.014733333333333333,176.79999999999998,0.0,-0.0,0.0,7.7194698560448245,0.0,0.0,2.6645352591003757e-15,7.7194698560448245,0.0,0.7015991430190153,1438.2782431889814,33.334394209390815,0.0,-0.0,0.0,0.6047306974668951,634.9672323402399,89.24999999999999,0.08499999999999999,0.32667706325203,32.667706325203,0.6340304771084783,0.0,-0.0,0.0,0.0,129.59999999999997
18,18.0,2.6999999999999997,32.0,10.0,0.0,0.0156,187.2,0.0,-0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,-0.31801801801801943,0.31801801801801943,0.7123945631146321,1460.408854384996,255.10204081632654,0.0,-0.0,0.0,0.5508427987289932,578.3849386654429,0.0,0.0,2.5,250.0,0.6474233342513354,0.0,-0.0,0.0,0.0,129.6
