period,agv_charge_count_da,grid_buy_da_mw,grid_sell_da_mw,lohc_power_da_mw,lohc_ramp_abs_da_mw,spill_da_mw
0,4.0,28.842893279468246,0.0,0.8600103965853627,,0.0
1,0.0,23.01766805424302,0.0,0.8600103965853627,0.0,0.0
2,4.0,18.932983369558336,0.0,0.8600103965853627,0.0,0.0
3,0.0,16.351001387576353,0.0,0.8600103965853627,0.0,0.0
4,4.0,24.068118504693476,0.0,0.8600103965853627,0.0,0.0
5,0.0,21.93658697316194,0.0,0.8600103965853627,0.0,0.0
6,4.0,20.55460499117996,0.0,0.8600103965853627,0.0,0.0
7,0.0,14.882532919107884,0.0,0.8600103965853627,0.0,0.0
8,0.0,15.332983369558335,0.0,0.8600103965853627,0.0,0.0
9,0.2665973560976056,7.535135135135134,0.0,0.8600103965853627,0.0,0.0
10,4.266597356097606,0.0,0.0,0.8600103965853627,0.0,0.0
11,0.2665973560976056,0.6612612612612644,0.0,0.8600103965853627,0.0,0.0
12,0.0,6.810460847035813,0.0,0.8600103965853627,0.0,0.0
13,0.0,11.76541580199077,0.0,0.8600103965853627,0.0,0.0
14,2.0000000000000018,13.95730769388266,0.0,0.8600103965853627,0.0,0.0
15,6.000000000000002,8.76451490108987,0.0,0.8600103965853627,0.0,0.0
16,10.000000000000002,5.400550937125903,0.0,0.8600103965853627,0.0,0.0
17,14.000000000000002,8.252803189378154,0.0,0.8600103965853627,0.0,0.0
18,18.0,0.0,0.318018018018019,2.5,1.6399896034146373,0.0
19,14.000000000000002,0.20540540540540714,0.0,0.2,2.3,0.0
20,10.0,4.425225225225225,0.0,0.2,0.0,0.0
21,6.0,5.536936936936939,0.0,0.2,0.0,0.0
22,2.0,4.486486486486486,0.0,0.2,0.0,0.0
23,0.0,6.618918918918916,0.0,0.2,0.0,0.0
24,0.0,8.15045045045045,0.0,0.2,0.0,0.0
25,0.0,3.4207207207207206,0.0,0.2,0.0,0.0
26,0.0,4.772072072072072,0.0,0.2,0.0,0.0
27,0.0,4.6819819819819815,0.0,0.2,0.0,0.0
28,3.333333333333332,5.812612612612613,0.0,0.2,0.0,0.0
29,7.333333333333332,3.98018018018018,0.0,0.2,0.0,0.0
30,11.333333333333332,0.7513513513513506,0.0,0.2,0.0,0.0
31,15.333333333333332,0.0,0.0,0.2,0.0,0.0
32,15.333333333333332,0.0,0.0,0.2,0.0,0.0
33,11.333333333333332,0.3909909909909904,0.0,0.2,0.0,0.0
34,7.333333333333332,5.691891891891893,0.0,0.2,0.0,0.0
35,3.333333333333332,5.1819819819819815,0.0,0.2,0.0,0.0
36,0.0,3.330630630630629,0.0,0.2,0.0,0.0
37,0.0,0.8981981981981988,0.0,0.2,0.0,0.0
38,3.3213213213213018,0.0,0.0,0.2,0.0,0.0
39,0.0,0.943243243243242,0.0,0.2,0.0,0.0
40,4.0,5.957657657657658,0.0,0.2,0.0,0.0
41,8.0,7.368468468468466,0.0,0.2,0.0,0.0
42,12.0,9.5,0.0,0.2,0.0,0.0
43,8.0,7.458558558558559,0.0,0.2,0.0,0.0
44,4.0,6.678378378378377,0.0,0.2,0.0,0.0
45,0.0,6.799099099099098,0.0,0.2,0.0,0.0
46,0.0,6.7090090090090095,0.0,0.2,0.0,0.0
47,0.0,5.988288288288287,0.0,0.2,0.0,0.0
48,0.0,15.222522522522521,0.0,0.2,0.0,0.0
49,0.0,14.23153153153153,0.0,0.2,0.0,0.0
50,0.0,16.573873873873875,0.0,0.2,0.0,0.0
51,0.0,19.844144144144142,0.0,0.2,0.0,0.0
52,0.0,22.03333333333333,0.0,0.2,0.0,0.0
53,0.0,21.853153153153155,0.0,0.2,0.0,0.0
54,0.0,26.745045045045043,0.0,0.2,0.0,0.0
55,0.0,31.186486486486487,0.0,0.2,0.0,0.0
56,0.0,32.80810810810811,0.0,0.2,0.0,0.0
57,0.0,33.16846846846847,0.0,0.2,0.0,0.0
58,0.0,36.7990990990991,0.0,0.2,0.0,0.0
59,0.0,35.71801801801802,0.0,0.2,0.0,0.0
60,4.0,36.94864864864865,0.0,0.2,0.0,0.0
61,4.0,35.5972972972973,0.0,0.2,0.0,0.0
62,0.0,36.91621621621622,0.0,0.2,0.0,0.0
63,4.0,38.68738738738739,0.0,0.2,0.0,0.0
64,4.0,37.6963963963964,0.0,0.2,0.0,0.0
65,0.0,37.36666666666667,0.0,0.2,0.0,0.0
66,0.0,34.00630630630631,0.0,0.2,0.0,0.0
67,0.0,34.81711711711712,0.0,0.2,0.0,0.0
68,0.0,37.36666666666667,0.0,0.2,0.0,0.0
69,0.0,37.45675675675676,0.0,0.2,0.0,0.0
70,0.0,35.35765765765766,0.0,0.2,0.0,0.0
71,0.0,39.07837837837838,0.0,0.2,0.0,0.0
72,0.0,38.17747747747748,0.0,0.2,0.0,0.0
73,0.0,36.73603603603604,0.0,0.2,0.0,0.0
74,0.0,37.72702702702703,0.0,0.2,0.0,0.0
75,0.0,36.105405405405406,0.0,0.2,0.0,0.0
76,0.0,36.1954954954955,0.0,0.2,0.0,0.0
77,4.0,37.06576576576577,0.0,0.2,0.0,0.0
78,0.0,34.483783783783785,0.0,0.2,0.0,0.0
79,0.0,35.65495495495496,0.0,0.2,0.0,0.0
80,4.0,33.25495495495496,0.0,0.2,0.0,0.0
81,4.0,29.471171171171175,0.0,0.2,0.0,0.0
82,0.0,23.916216216216213,0.0,0.2,0.0,0.0
83,0.0,19.925225225225223,0.0,0.2,0.0,0.0
