period,time_hour,grid_buy_da_mw,grid_sell_da_mw,grid_net_da_mw,wind_nominal_mw,wind_direct_da_mw,wind_hydrogen_da_mw,base_load_mw,shore_power_nominal_mw,quay_crane_power_nominal_mw,agv_charge_count_da,agv_charge_power_da_mw,lohc_power_da_mw,spill_da_mw,grid_net_rt_worst_mw,agv_charge_power_rt_worst_mw,lohc_power_rt_worst_mw,spill_rt_worst_mw,wind_worst_mw,shore_power_worst_mw,quay_crane_power_worst_mw,day_ahead_demand_mw,day_ahead_supply_mw,day_ahead_balance_residual_mw
0,0,27.7095599461,0,27.7095599461,11.8618618619,7.11711711712,4.74474474474,2.5,24,8,0,0,0.326677063252,0,27.7095599461,0,0.326677063252,0,11.8618618619,24,8,34.8266770633,34.8266770633,0
1,0.25,22.4843347209,0,22.4843347209,20.5705705706,12.3423423423,8.22822822823,2.5,24,8,0,0,0.326677063252,0,22.4843347209,0,0.326677063252,0,20.5705705706,24,8,34.8266770633,34.8266770633,7.1054273576e-15
2,0.5,17.7996500362,0,17.7996500362,28.3783783784,17.027027027,11.3513513514,2.5,24,8,0,0,0.326677063252,0,23.4753257119,0,0.326677063252,0,22.7027027027,24,8,34.8266770633,34.8266770633,0
3,0.75,15.8176680542,0,15.8176680542,31.6816816817,19.009009009,12.6726726727,2.5,24,8,0,0,0.326677063252,0,22.1540043906,0,0.326677063252,0,25.3453453453,24,8,34.8266770633,34.8266770633,0
4,1,22.9347851714,0,22.9347851714,19.8198198198,11.8918918919,7.92792792793,2.5,24,8,0,0,0.326677063252,0,26.8987491353,0,0.326677063252,0,15.8558558559,24,8,34.8266770633,34.8266770633,7.1054273576e-15
5,1.25,21.4032536398,0,21.4032536398,22.3723723724,13.4234234234,8.94894894895,2.5,24,8,0,0,0.326677063252,0,25.8777281143,0,0.326677063252,0,17.8978978979,24,8,34.8266770633,34.8266770633,7.1054273576e-15
6,1.5,19.4212716578,0,19.4212716578,25.6756756757,15.4054054054,10.2702702703,2.5,24,8,0,0,0.326677063252,0,24.556406793,0,0.326677063252,0,20.5405405405,24,8,34.8266770633,34.8266770633,0
7,1.75,14.3491995858,0,14.3491995858,29.1291291291,17.4774774775,11.6516516517,2.5,21,8,0,0,0.326677063252,0,20.1750254116,0,0.326677063252,0,23.3033033033,21,8,31.8266770633,31.8266770633,0
8,2,15.3996500362,0,15.3996500362,28.3783783784,17.027027027,11.3513513514,2.5,21,8,4,0.6,0.326677063252,0,21.0753257119,0.6,0.326677063252,0,22.7027027027,21,8,32.4266770633,32.4266770633,-7.1054273576e-15
9,2.25,7.53513513514,0,7.53513513514,41.4414414414,24.8648648649,16.5765765766,2.5,21,8,3.82215291165,0.573322936748,0.326677063252,0,15.8234234234,0.573322936748,0.326677063252,0,33.1531531532,21,8,32.4,32.4,0
10,2.5,0,0,0,50,30,20,2.5,18,8,7.82215291165,1.17332293675,0.326677063252,0,10,1.17332293675,0.326677063252,0,40,18,8,30,30,3.5527136788e-15
11,2.75,0.661261261261,0,0.661261261261,47.8978978979,28.7387387387,19.1591591592,2.5,18,8,3.82215291165,0.573322936748,0.326677063252,0,10.2408408408,0.573322936748,0.326677063252,0,38.3183183183,18,8,29.4,29.4,-3.5527136788e-15
12,3,6.2771275137,0,6.2771275137,32.5825825826,19.5495495495,13.033033033,2.5,15,8,0,0,0.326677063252,0,12.7936440302,0,0.326677063252,0,26.0660660661,15,8,25.8266770633,25.8266770633,0
13,3.25,11.2320824687,0,11.2320824687,24.3243243243,14.5945945946,9.72972972973,2.5,15,8,0,0,0.326677063252,0,16.0969473335,0,0.326677063252,0,19.4594594595,15,8,25.8266770633,25.8266770633,0
14,3.5,13.4239743605,0,13.4239743605,21.1711711712,12.7027027027,8.46846846847,2.5,15,8,2,0.3,0.326677063252,0,13.4239743605,0.3,0.326677063252,0,21.1711711712,15,8,26.1266770633,26.1266770633,0
15,3.75,8.23118156776,0,8.23118156776,25.8258258258,15.4954954955,10.3303303303,2.5,12,8,6,0.9,0.326677063252,0,8.23118156776,0.9,0.326677063252,0,25.8258258258,12,8,23.7266770633,23.7266770633,0
16,4,4.86721760379,0,4.86721760379,32.4324324324,19.4594594595,12.972972973,2.5,12,8,10,1.5,0.326677063252,0,4.86721760379,1.5,0.326677063252,0,32.4324324324,12,8,24.3266770633,24.3266770633,0
17,4.25,7.71946985604,0,7.71946985604,28.6786786787,17.2072072072,11.4714714715,2.5,12,8,14,2.1,0.326677063252,0,7.71946985604,2.1,0.326677063252,0,28.6786786787,12,8,24.9266770633,24.9266770633,-3.5527136788e-15
18,4.5,0,0.318018018018,-0.318018018018,30.03003003,18.018018018,12.012012012,2.5,6,4,18,2.7,2.5,0,-0.318018018018,2.7,2.5,0,30.03003003,6,4,17.7,17.7,0
19,4.75,0.205405405405,0,0.205405405405,24.3243243243,14.5945945946,9.72972972973,2.5,6,4,14,2.1,0.2,0,0.205405405405,2.1,0.2,0,24.3243243243,6,4,14.8,14.8,1.7763568394e-15
20,5,4.42522522523,0,4.42522522523,24.6246246246,14.7747747748,9.84984984985,2.5,9,6,10,1.5,0.2,0,4.42522522523,1.5,0.2,0,24.6246246246,9,6,19.2,19.2,0
21,5.25,5.53693693694,0,5.53693693694,21.7717717718,13.0630630631,8.70870870871,2.5,9,6,6,0.9,0.2,0,5.83693693694,1.2,0.2,0,21.7717717718,9,6,18.6,18.6,3.5527136788e-15
22,5.5,4.78648648649,0,4.78648648649,22.5225225225,13.5135135135,9.00900900901,2.5,9,6,4,0.6,0.2,0,4.78648648649,0.6,0.2,0,22.5225225225,9,6,18.3,18.3,-3.5527136788e-15
23,5.75,6.61891891892,0,6.61891891892,18.4684684685,11.0810810811,7.38738738739,2.5,9,6,0,0,0.2,0,6.61891891892,0,0.2,0,18.4684684685,9,6,17.7,17.7,0
24,6,8.45045045045,0,8.45045045045,15.9159159159,9.54954954955,6.36636636637,2.5,9,6,2,0.3,0.2,0,8.45045045045,0.3,0.2,0,15.9159159159,9,6,18,18,0
25,6.25,3.42072072072,0,3.42072072072,15.4654654655,9.27927927928,6.18618618619,2.5,6,4,0,0,0.2,0,3.42072072072,0,0.2,0,15.4654654655,6,4,12.7,12.7,0
26,6.5,4.77207207207,0,4.77207207207,13.2132132132,7.92792792793,5.28528528529,2.5,6,4,0,0,0.2,0,4.77207207207,0,0.2,0,13.2132132132,6,4,12.7,12.7,0
27,6.75,5.28198198198,0,5.28198198198,13.3633633634,8.01801801802,5.34534534535,2.5,6,4,4,0.6,0.2,0,5.28198198198,0.6,0.2,0,13.3633633634,6,4,13.3,13.3,1.7763568394e-15
28,7,5.81261261261,0,5.81261261261,12.3123123123,7.38738738739,4.92492492492,2.5,6,4,3.33333333333,0.5,0.2,0,5.81261261261,0.5,0.2,0,12.3123123123,6,4,13.2,13.2,0
29,7.25,3.98018018018,0,3.98018018018,16.3663663664,9.81981981982,6.54654654655,2.5,6,4,7.33333333333,1.1,0.2,0,3.98018018018,1.1,0.2,0,16.3663663664,6,4,13.8,13.8,1.7763568394e-15
30,7.5,0.751351351351,0,0.751351351351,14.4144144144,8.64864864865,5.76576576577,2.5,3,2,11.3333333333,1.7,0.2,0,0.751351351351,1.7,0.2,0,14.4144144144,3,2,9.4,9.4,1.7763568394e-15
31,7.75,0,0,0,16.6666666667,10,6.66666666667,2.5,3,2,15.3333333333,2.3,0.2,0,0,2.3,0.2,0,16.6666666667,3,2,10,10,0
32,8,0,0,0,16.6666666667,10,6.66666666667,2.5,3,2,15.3333333333,2.3,0.2,0,0,2.3,0.2,0,16.6666666667,3,2,10,10,0
33,8.25,0.390990990991,0,0.390990990991,15.015015015,9.00900900901,6.00600600601,2.5,3,2,11.3333333333,1.7,0.2,0,0.390990990991,1.7,0.2,0,15.015015015,3,2,9.4,9.4,1.7763568394e-15
34,8.5,5.69189189189,0,5.69189189189,13.5135135135,8.10810810811,5.40540540541,2.5,6,4,7.33333333333,1.1,0.2,0,5.69189189189,1.1,0.2,0,13.5135135135,6,4,13.8,13.8,1.7763568394e-15
35,8.75,5.18198198198,0,5.18198198198,13.3633633634,8.01801801802,5.34534534535,2.5,6,4,3.33333333333,0.5,0.2,0,5.18198198198,0.5,0.2,0,13.3633633634,6,4,13.2,13.2,0
36,9,3.33063063063,0,3.33063063063,15.6156156156,9.36936936937,6.24624624625,2.5,6,4,0,0,0.2,0,3.33063063063,0,0.2,0,15.6156156156,6,4,12.7,12.7,0
37,9.25,0.898198198198,0,0.898198198198,19.6696696697,11.8018018018,7.86786786787,2.5,6,4,0,0,0.2,0,0.898198198198,0,0.2,0,19.6696696697,6,4,12.7,12.7,0
38,9.5,0,0,0,30.3303303303,18.1981981982,12.1321321321,2.5,9,6,3.32132132132,0.498198198198,0.2,0,-3.5527136788e-15,0.498198198198,0.2,0,30.3303303303,9,6,18.1981981982,18.1981981982,3.5527136788e-15
39,9.75,0.943243243243,0,0.943243243243,27.9279279279,16.7567567568,11.1711711712,2.5,9,6,0,0,0.2,0,0.943243243243,0,0.2,0,27.9279279279,9,6,17.7,17.7,0
40,10,5.35765765766,0,5.35765765766,20.5705705706,12.3423423423,8.22822822823,2.5,9,6,0,0,0.2,0,5.35765765766,0,0.2,0,20.5705705706,9,6,17.7,17.7,0
41,10.25,6.16846846847,0,6.16846846847,19.2192192192,11.5315315315,7.68768768769,2.5,9,6,0,0,0.2,0,6.16846846847,0,0.2,0,19.2192192192,9,6,17.7,17.7,0
42,10.5,8.3,0,8.3,16.6666666667,10,6.66666666667,2.5,9,6,4,0.6,0.2,0,8.3,0.6,0.2,0,16.6666666667,9,6,18.3,18.3,0
43,10.75,6.25855855856,0,6.25855855856,19.0690690691,11.4414414414,7.62762762763,2.5,9,6,0,0,0.2,0,6.25855855856,0,0.2,0,19.0690690691,9,6,17.7,17.7,0
44,11,6.67837837838,0,6.67837837838,19.3693693694,11.6216216216,7.74774774775,2.5,9,6,4,0.6,0.2,0,6.67837837838,0.6,0.2,0,19.3693693694,9,6,18.3,18.3,-3.5527136788e-15
45,11.25,6.7990990991,0,6.7990990991,18.1681681682,10.9009009009,7.26726726727,2.5,9,6,0,0,0.2,0,6.7990990991,0,0.2,0,18.1681681682,9,6,17.7,17.7,0
46,11.5,6.70900900901,0,6.70900900901,18.3183183183,10.990990991,7.32732732733,2.5,9,6,0,0,0.2,0,6.70900900901,0,0.2,0,18.3183183183,9,6,17.7,17.7,0
47,11.75,6.28828828829,0,6.28828828829,19.5195195195,11.7117117117,7.80780780781,2.5,9,6,2,0.3,0.2,0,6.28828828829,0.3,0.2,0,19.5195195195,9,6,18,18,0
48,12,15.2225225225,0,15.2225225225,12.4624624625,7.47747747748,4.98498498498,2.5,12,8,0,0,0.2,0,15.2225225225,0.9,1.4,2.9,12.4624624625,9,6,22.7,22.7,-3.5527136788e-15
49,12.25,14.2315315315,0,14.2315315315,14.1141141141,8.46846846847,5.64564564565,2.5,12,8,0,0,0.2,0,14.2315315315,0.9,1.4,2.9,14.1141141141,9,6,22.7,22.7,0
50,12.5,16.5738738739,0,16.5738738739,10.2102102102,6.12612612613,4.08408408408,2.5,12,8,0,0,0.2,0,16.5738738739,0.9,1.4,2.9,10.2102102102,9,6,22.7,22.7,3.5527136788e-15
