t,hour,nominal_wind_mw,pointwise_lower_wind_mw,pointwise_upper_wind_mw
0,0.00,1.3904,1.11232,1.66848
1,0.25,2.4112,1.92896,2.89344
2,0.50,3.3264,2.66112,3.99168
3,0.75,3.7136,2.97088,4.45632
4,1.00,2.3232,1.85856,2.78784
5,1.25,2.6224,2.09792,3.14688
6,1.50,3.0096,2.40768,3.61152
7,1.75,3.4144,2.73152,4.09728
8,2.00,3.3264,2.66112,3.99168
9,2.25,4.8576,3.88608,5.82912
10,2.50,5.8608,4.68864,7.03296
11,2.75,5.6144,4.49152,6.73728
12,3.00,3.8192,3.05536,4.58304
13,3.25,2.8512,2.28096,3.42144
14,3.50,2.4816,1.98528,2.97792
15,3.75,3.0272,2.42176,3.63264
16,4.00,3.8016,3.04128,4.56192
17,4.25,3.3616,2.68928,4.03392
18,4.50,3.52,2.816,4.224
19,4.75,2.8512,2.28096,3.42144
20,5.00,2.8864,2.30912,3.46368
21,5.25,2.552,2.0416,3.0624
22,5.50,2.64,2.112,3.168
23,5.75,2.1648,1.73184,2.59776
24,6.00,1.8656,1.49248,2.23872
25,6.25,1.8128,1.45024,2.17536
26,6.50,1.5488,1.23904,1.85856
27,6.75,1.5664,1.25312,1.87968
28,7.00,1.4432,1.15456,1.73184
29,7.25,1.9184,1.53472,2.30208
30,7.50,1.6896,1.35168,2.02752
31,7.75,1.9536,1.56288,2.34432
32,8.00,1.9536,1.56288,2.34432
33,8.25,1.76,1.408,2.112
34,8.50,1.584,1.2672,1.9008
35,8.75,1.5664,1.25312,1.87968
36,9.00,1.8304,1.46432,2.19648
37,9.25,2.3056,1.84448,2.76672
38,9.50,3.5552,2.84416,4.26624
39,9.75,3.2736,2.61888,3.92832
40,10.00,2.4112,1.92896,2.89344
41,10.25,2.2528,1.80224,2.70336
42,10.50,1.9536,1.56288,2.34432
43,10.75,2.2352,1.78816,2.68224
44,11.00,2.2704,1.81632,2.72448
45,11.25,2.1296,1.70368,2.55552
46,11.50,2.1472,1.71776,2.57664
47,11.75,2.288,1.8304,2.7456
48,12.00,1.4608,1.16864,1.75296
49,12.25,1.6544,1.32352,1.98528
50,12.50,1.1968,0.95744,1.43616
51,12.75,1.144,0.9152,1.3728
52,13.00,1.3024,1.04192,1.56288
53,13.25,1.3376,1.07008,1.60512
54,13.50,0.968,0.7744,1.1616
55,13.75,0.6864,0.54912,0.82368
56,14.00,0.3696,0.29568,0.44352
57,14.25,0.2992,0.23936,0.35904
58,14.50,0.176,0.1408,0.2112
59,14.75,0.3872,0.30976,0.46464
60,15.00,0.264,0.2112,0.3168
61,15.25,0.528,0.4224,0.6336
62,15.50,0.7392,0.59136,0.88704
63,15.75,0.5104,0.40832,0.61248
64,16.00,0.704,0.5632,0.8448
65,16.25,0.6512,0.52096,0.78144
66,16.50,0.7216,0.57728,0.86592
67,16.75,0.5632,0.45056,0.67584
68,17.00,0.6512,0.52096,0.78144
69,17.25,0.6336,0.50688,0.76032
70,17.50,0.4576,0.36608,0.54912
71,17.75,0.3168,0.25344,0.38016
72,18.00,0.4928,0.39424,0.59136
73,18.25,0.7744,0.61952,0.92928
74,18.50,0.5808,0.46464,0.69696
75,18.75,0.8976,0.71808,1.07712
76,19.00,0.88,0.704,1.056
77,19.25,0.8272,0.66176,0.99264
78,19.50,1.2144,0.97152,1.45728
79,19.75,0.9856,0.78848,1.18272
80,20.00,0.9856,0.78848,1.18272
81,20.25,1.7248,1.37984,2.06976
82,20.50,2.6928,2.15424,3.23136
83,20.75,2.8864,2.30912,3.46368
84,21.00,2.4992,1.99936,2.99904
85,21.25,1.4608,1.16864,1.75296
86,21.50,1.5312,1.22496,1.83744
87,21.75,1.936,1.5488,2.3232
88,22.00,1.8656,1.49248,2.23872
89,22.25,1.6192,1.29536,1.94304
90,22.50,2.0416,1.63328,2.44992
91,22.75,1.9008,1.52064,2.28096
92,23.00,0.9504,0.76032,1.14048
93,23.25,0.4576,0.36608,0.54912
94,23.50,0.4048,0.32384,0.48576
95,23.75,0.3872,0.30976,0.46464
