hour_boundary,hydrogen_inventory_kg,lohc_inventory_kg
0,1150,680
1,1187.043403,810.6708253
2,1223.952579,941.3416506
3,1345.343175,796.4856663
4,1427.446059,727.544217
5,1285.300581,990
6,1363.129819,852.7777778
7,1389.345787,660.462963
8,1404.263329,740.462963
9,1428.425038,708.0185185
10,1481.859944,515.7037037
11,1544.539018,595.7037037
12,1591.040799,675.7037037
13,1115.90564,877.7592593
14,736.2573048,964.1666667
15,676.9647234,1044.166667
16,500.8723758,919.9074074
17,456.9867403,999.9074074
18,408.9925859,755.6481481
19,358.9441721,835.6481481
20,333.0333068,915.6481481
21,344.6126768,833.5185185
22,385.2084615,589.2592593
23,412.4515598,507.1296296
24,385,425
