hour,agv_container_count,agv_lohc_count,agv_charge_count,agv_idle_count,lohc_production_kg,lohc_outbound_kg,hour_center
0,34.5679012345679,0,0,25.4320987654321,130.670825300812,0,0.5
1,34.5679012345679,0,0,25.4320987654321,130.670825300812,0,1.5
2,34.5679012345679,10.8049729268895,4.86661468373987,9.76051115480276,130.670825300812,275.526809635681,2.5
3,34.5679012345679,7.82793233679775,1.99999999999999,15.6041664286344,130.670825300812,199.612274588343,3.5
4,25.9259259259259,2.85802469135802,14,17.2160493827161,335.335412650406,72.8796296296296,4.5
5,25.9259259259259,8.51851851851852,5.5,20.0555555555556,80,217.222222222222,5.5
6,19.4444444444444,10.679012345679,1.5,28.3765432098765,79.9999999999998,272.314814814815,6.5
7,12.962962962963,0,9.33333333333333,37.7037037037037,80,0,7.5
8,12.962962962963,4.4095860566449,9.33333333333333,33.2941176470588,80.0000000000001,112.444444444445,8.5
9,21.6049382716049,10.679012345679,0.830330330330325,26.8857190523857,80,272.314814814815,9.5
10,25.9259259259259,0,1,33.0740740740741,80,0,10.5
11,25.9259259259259,0,1.5,32.5740740740741,80,0,11.5
12,25.9259259259259,14.037037037037,6,14.037037037037,560,357.944444444444,12.5
13,34.5679012345679,13.8663761801017,5.5,6.0657225853304,440,353.592592592593,13.5
14,34.5679012345679,0,2,23.4320987654321,80,0,14.5
15,34.5679012345679,12.716049382716,0,12.7160493827161,199.999999999999,324.259259259259,15.5
16,34.5679012345679,0,1.12064680996038,24.3114519554717,80,0,16.5
17,34.5679012345679,12.716049382716,0,12.7160493827161,80,324.259259259259,17.5
18,34.5679012345679,0,1,24.4320987654321,80,0,18.5
19,34.5679012345679,0,3,22.4320987654321,80,0,19.5
20,34.5679012345679,6.35802469135802,0,19.0740740740741,80,162.12962962963,20.5
21,34.5679012345679,12.716049382716,1,11.7160493827161,80,324.259259259259,21.5
22,34.5679012345679,6.35802469135802,2,17.0740740740741,80,162.12962962963,22.5
23,34.5679012345679,6.35802469135802,1.33632019115886,17.7377538829152,80,162.12962962963,23.5
