hour,net_grid_da_mw,net_grid_rt_mw,agv_charge_count_da,agv_charge_count_rt,lohc_power_da_mw,lohc_power_rt_mw,lohc_outbound_kg,hour_center,grid_adjustment_mw
0,20.95280319,23.95580619,0,0,0.3266770633,0.3266770633,0,0.5,3.003003003
1,19.52712751,24.37697736,0,0,0.3266770633,0.3266770633,0,1.5,4.84984985
2,5.899011608,14.28489749,4.866614684,4.866614684,0.3266770633,0.3266770633,275.5268096,2.5,8.385885886
3,9.791091478,12.63643682,2,2,0.3266770633,0.3266770633,199.6122746,3.5,2.845345345
4,3.118518712,3.118518712,14,14,0.8383385316,0.8383385316,72.87962963,4.5,-1.33226763e-15
5,5.341891892,5.416891892,5,5.5,0.2,0.2,217.2222222,5.5,0.075
6,5.481306306,5.481306306,1.5,1.5,0.2,0.2,272.3148148,6.5,0
7,2.636036036,2.636036036,9.333333333,9.333333333,0.2,0.2,0,7.5,0
8,2.816216216,2.816216216,9.333333333,9.333333333,0.2,0.2,112.4444444,8.5,0
9,1.293018018,1.293018018,0.8303303303,0.8303303303,0.2,0.2,272.3148148,9.5,0
10,6.521171171,6.521171171,1,1,0.2,0.2,0,10.5,-8.881784197e-16
11,6.618693694,6.618693694,1.5,1.5,0.2,0.2,0,11.5,8.881784197e-16
12,16.46801802,16.45698198,0,6,0.2,1.4,357.9444444,12.5,-0.01103603604
13,25.5295045,25.6045045,0.5,5.5,0.2,1.1,353.5925926,13.5,0.075
14,34.77342342,34.92342342,1,2,0.2,0.2,0,14.5,0.15
15,36.58738739,36.88738739,0,0,0.2,0.5,324.2592593,15.5,0.3
16,35.98971864,35.98971864,1.12064681,1.12064681,0.2,0.2,0,16.5,0
17,37.31486486,37.31486486,0,0,0.2,0.2,324.2592593,17.5,0
18,37.33648649,37.33648649,1,1,0.2,0.2,0,18.5,0
19,36.15,36.15,3,3,0.2,0.2,0,19.5,0
20,26.34189189,30.09189189,0,0,0.2,0.2,162.1296296,20.5,3.75
21,17.0954955,19.3454955,1,1,0.2,0.2,324.2592593,21.5,2.25
22,14.9954955,14.9954955,2,2,0.2,0.2,162.1296296,22.5,1.776356839e-15
23,21.53468468,21.58513271,1,1.336320191,0.2,0.2,162.1296296,23.5,0.05044802867
